id_fornecedor,nome,segmento,estado,interesse_declarado,data_acesso,hora,tela_acessada,tempo_segundos,buscou,clicou_oportunidade,iniciou_proposta,abandonou_proposta,enviou_proposta,engajamento,interesse_real
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-12,13:34,Home,187,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN007,Empresa Gamma,Construção,MG,Treinamentos,2026-09-08,09:06,Treinamentos,331,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN008,Empresa Omega,Engenharia,BA,Oportunidades,2026-09-13,15:34,Treinamentos,504,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN008,Empresa Omega,Engenharia,BA,Oportunidades,2026-09-14,16:55,Treinamentos,131,Manutenção,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN008,Empresa Omega,Engenharia,BA,Oportunidades,2026-09-14,12:32,Propostas,479,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN008,Empresa Omega,Engenharia,BA,Oportunidades,2026-09-12,14:51,Treinamentos,46,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN008,Empresa Omega,Engenharia,BA,Oportunidades,2026-09-13,17:48,Propostas,249,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN009,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-05,09:30,Treinamentos,129,Engenharia,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN009,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-10,16:32,Minha Área de Interesse,112,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN009,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-05,15:54,Minha Área de Interesse,58,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN009,Empresa Alpha,Tecnologia,MG,Oportunidades,2026-09-10,11:14,Propostas,64,Equipamentos,Não,Sim,Não,Não,Inativo,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-12,13:52,Oportunidades,349,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-11,16:45,Home,170,Manutenção,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-08,14:25,Oportunidades,117,Engenharia,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-11,12:39,Minha Área de Interesse,88,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-08,15:27,Oportunidades,358,Nenhuma,Sim,Sim,Não,Não,Inativo,Nenhum
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-09,14:05,Oportunidades,319,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-14,13:47,Home,102,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN010,Empresa Gamma,Engenharia,SP,Treinamentos,2026-09-10,16:01,Oportunidades,346,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN011,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-08-24,12:16,Treinamentos,213,Manutenção,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN011,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-02,11:07,Oportunidades,108,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN011,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-11,12:46,Oportunidades,543,Manutenção,Não,Sim,Não,Não,Inativo,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-14,08:20,Oportunidades,342,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-08,18:01,Home,451,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-13,08:52,Treinamentos,561,Engenharia,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-08,13:46,Oportunidades,570,Equipamentos,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-11,14:04,Oportunidades,81,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-08,10:44,Home,417,Nenhuma,Sim,Sim,Não,Sim,Engajado,Nenhum
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-10,13:43,Propostas,467,Engenharia,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-12,14:09,Oportunidades,596,FPSO,Não,Sim,Não,Não,Inativo,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-08,11:34,Propostas,469,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN012,Empresa Omega,Logística,BA,Leilões,2026-09-13,15:58,Treinamentos,38,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-11,16:36,Propostas,272,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-08,15:41,Propostas,176,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-14,13:35,Treinamentos,478,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-14,10:31,Minha Área de Interesse,182,Engenharia,Não,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-09,14:41,Oportunidades,581,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-12,16:14,Oportunidades,527,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-10,10:42,Home,496,FPSO,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-10,16:43,Minha Área de Interesse,532,Manutenção,Não,Sim,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-11,18:16,Treinamentos,547,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-14,12:08,Treinamentos,536,Manutenção,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-09,14:50,Oportunidades,544,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN013,Empresa Gamma,Construção,MG,Cadastro Petrobras,2026-09-11,11:31,Minha Área de Interesse,212,Equipamentos,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-10,15:38,Home,54,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-14,17:25,Propostas,41,Engenharia,Não,Sim,Não,Não,Inativo,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-11,11:42,Minha Área de Interesse,518,Engenharia,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-08,14:33,Oportunidades,194,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-13,13:17,Oportunidades,497,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-11,18:06,Oportunidades,297,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-12,15:29,Treinamentos,553,Manutenção,Não,Não,Não,Não,Inativo,Oportunidades
FORN014,Empresa Beta,Construção,RS,Cadastro Petrobras,2026-09-12,18:13,Home,139,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN015,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-07,17:29,Propostas,482,Engenharia,Não,Não,Não,Não,Inativo,Oportunidades
FORN015,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-08,13:17,Treinamentos,397,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN015,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-09,11:44,Minha Área de Interesse,345,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN015,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-08,18:39,Minha Área de Interesse,277,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN015,Empresa Alpha,Engenharia,BA,Cadastro Petrobras,2026-09-05,09:52,Oportunidades,198,Nenhuma,Sim,Não,Não,Não,Inativo,Nenhum
FORN016,Empresa Delta,Construção,SP,Oportunidades,2026-09-09,16:22,Minha Área de Interesse,311,Engenharia,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN016,Empresa Delta,Construção,SP,Oportunidades,2026-09-14,15:57,Oportunidades,580,Engenharia,Não,Não,Não,Não,Inativo,Oportunidades
FORN016,Empresa Delta,Construção,SP,Oportunidades,2026-09-06,18:22,Propostas,85,Equipamentos,Não,Sim,Não,Não,Inativo,Oportunidades
FORN016,Empresa Delta,Construção,SP,Oportunidades,2026-09-09,16:13,Minha Área de Interesse,137,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN017,Empresa Alpha,Logística,RS,Leilões,2026-09-15,10:08,Propostas,47,FPSO,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN017,Empresa Alpha,Logística,RS,Leilões,2026-09-14,15:44,Propostas,401,Equipamentos,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN017,Empresa Alpha,Logística,RS,Leilões,2026-09-15,18:40,Oportunidades,86,Engenharia,Não,Não,Não,Não,Inativo,Oportunidades
FORN017,Empresa Alpha,Logística,RS,Leilões,2026-09-15,08:45,Treinamentos,29,Engenharia,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN017,Empresa Alpha,Logística,RS,Leilões,2026-09-14,08:45,Treinamentos,556,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN018,Empresa Delta,Tecnologia,RJ,Licitações,2026-08-25,12:21,Treinamentos,589,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN018,Empresa Delta,Tecnologia,RJ,Licitações,2026-08-27,17:31,Minha Área de Interesse,346,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN019,Empresa Omega,Tecnologia,MG,Oportunidades,2026-09-01,11:22,Minha Área de Interesse,378,Manutenção,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN019,Empresa Omega,Tecnologia,MG,Oportunidades,2026-08-23,11:05,Treinamentos,212,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-13,16:38,Oportunidades,239,Nenhuma,Sim,Sim,Não,Sim,Engajado,Nenhum
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-13,17:21,Oportunidades,118,Engenharia,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-15,18:21,Home,341,Nenhuma,Não,Sim,Sim,Não,Em risco,Nenhum
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-07,18:10,Home,506,Nenhuma,Não,Sim,Sim,Não,Em risco,Nenhum
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-13,13:07,Oportunidades,230,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN020,Empresa Beta,Construção,BA,Treinamentos,2026-09-11,10:48,Treinamentos,70,FPSO,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-14,15:39,Propostas,390,Engenharia,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-13,11:03,Home,415,Manutenção,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-13,14:46,Treinamentos,553,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-15,16:12,Treinamentos,539,Equipamentos,Não,Não,Não,Não,Inativo,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-15,14:56,Oportunidades,131,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-14,13:53,Minha Área de Interesse,270,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN021,Empresa Gamma,Logística,BA,Oportunidades,2026-09-12,08:46,Minha Área de Interesse,585,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-05,12:30,Minha Área de Interesse,70,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-10,14:39,Home,328,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-11,18:17,Minha Área de Interesse,145,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-09,14:31,Minha Área de Interesse,407,FPSO,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-11,18:29,Minha Área de Interesse,112,Manutenção,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-07,15:13,Home,425,FPSO,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN022,Empresa Delta,Construção,SP,Leilões,2026-09-13,08:32,Oportunidades,169,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN023,Empresa Gamma,Construção,MG,Oportunidades,2026-09-09,15:55,Oportunidades,571,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN023,Empresa Gamma,Construção,MG,Oportunidades,2026-09-15,16:50,Treinamentos,205,FPSO,Não,Não,Não,Não,Inativo,Oportunidades
FORN023,Empresa Gamma,Construção,MG,Oportunidades,2026-09-06,18:44,Minha Área de Interesse,354,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN023,Empresa Gamma,Construção,MG,Oportunidades,2026-09-12,16:42,Home,575,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-14,11:11,Minha Área de Interesse,167,Nenhuma,Sim,Sim,Não,Sim,Engajado,Nenhum
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-11,09:08,Home,441,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-07,10:15,Treinamentos,73,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-10,17:43,Propostas,88,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-12,15:49,Minha Área de Interesse,273,Equipamentos,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-07,11:10,Oportunidades,128,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN024,Empresa Beta,Construção,RS,Treinamentos,2026-09-08,14:29,Oportunidades,263,Engenharia,Não,Não,Não,Não,Inativo,Oportunidades
FORN025,Empresa Delta,Logística,SP,Licitações,2026-08-29,10:20,Minha Área de Interesse,107,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-11,11:02,Propostas,200,Manutenção,Não,Sim,Não,Não,Inativo,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-15,12:10,Minha Área de Interesse,267,Manutenção,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-06,12:34,Home,43,Manutenção,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-14,18:49,Treinamentos,526,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-12,10:36,Oportunidades,147,Equipamentos,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-11,09:21,Treinamentos,59,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN026,Empresa Delta,Tecnologia,RJ,Treinamentos,2026-09-15,17:29,Propostas,433,Engenharia,Sim,Não,Não,Não,Inativo,Oportunidades
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-15,10:12,Oportunidades,453,Engenharia,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-12,15:14,Treinamentos,589,Equipamentos,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-14,16:24,Minha Área de Interesse,196,Nenhuma,Não,Sim,Não,Sim,Engajado,Nenhum
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-14,13:25,Home,318,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-14,13:17,Oportunidades,494,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-15,12:03,Propostas,469,FPSO,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN027,Empresa Omega,Serviços,RJ,Treinamentos,2026-09-15,09:39,Oportunidades,155,Engenharia,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN028,Empresa Gamma,Logística,BA,Treinamentos,2026-09-08,18:03,Treinamentos,236,Engenharia,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN028,Empresa Gamma,Logística,BA,Treinamentos,2026-09-15,14:19,Treinamentos,47,Equipamentos,Não,Sim,Sim,Não,Em risco,Oportunidades
FORN028,Empresa Gamma,Logística,BA,Treinamentos,2026-09-12,14:29,Oportunidades,574,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN028,Empresa Gamma,Logística,BA,Treinamentos,2026-09-15,17:08,Propostas,29,Equipamentos,Sim,Sim,Não,Não,Inativo,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-11,09:20,Home,168,Equipamentos,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-15,08:43,Treinamentos,218,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-15,18:27,Minha Área de Interesse,190,Equipamentos,Não,Sim,Não,Sim,Engajado,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-14,16:11,Oportunidades,127,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-08,10:03,Home,45,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-14,09:35,Oportunidades,511,Engenharia,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-10,09:58,Treinamentos,194,Manutenção,Sim,Sim,Não,Sim,Engajado,Oportunidades
FORN029,Empresa Delta,Serviços,MG,Licitações,2026-09-08,09:44,Minha Área de Interesse,428,Nenhuma,Não,Sim,Não,Não,Inativo,Nenhum
FORN030,Empresa Gamma,Construção,BA,Licitações,2026-09-15,08:36,Minha Área de Interesse,328,Equipamentos,Não,Sim,Não,Não,Inativo,Oportunidades
FORN030,Empresa Gamma,Construção,BA,Licitações,2026-09-06,09:39,Propostas,36,Equipamentos,Sim,Não,Não,Não,Inativo,Oportunidades
FORN030,Empresa Gamma,Construção,BA,Licitações,2026-09-05,11:34,Home,247,Manutenção,Sim,Não,Não,Não,Inativo,Oportunidades
FORN030,Empresa Gamma,Construção,BA,Licitações,2026-09-05,14:18,Minha Área de Interesse,131,FPSO,Sim,Não,Não,Não,Inativo,Oportunidades
FORN030,Empresa Gamma,Construção,BA,Licitações,2026-09-15,12:37,Minha Área de Interesse,412,Engenharia,Sim,Sim,Sim,Não,Em risco,Oportunidades
FORN031,Empresa Beta,Logística,RS,Oportunidades,2026-09-06,13:57,Oportunidades,297,Nenhuma,Não,Não,Não,Não,Inativo,Nenhum
